Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
Q96PC5;Q96PC5-9;Q96PC5-7;Q96PC5-14;G3V599;Q96PC5-10;Q96PC5-11;Q96PC5-12;Q96PC5-13;Q96PC5-5;Q96PC5-8;Q96PC5-6;Q96RT6;Q86UF2;A4D2H0;A4FU28;A0A2R8YE69;A0A5F9ZHA4;Q8IX94;P0CG41;Q8IX95;G3V3C4;G3V5K6	MIA2	Melanoma inhibitory activity protein 2	23	20	20	20	16.100000000000001	16.100000000000001	16.100000000000001	159.83000000000001	1412	21.309266854134119	20.08272685160642	21.242184630141509	21.099593839252641	24.661556312281888	24.66909309953186	25.123604881875721	25.06628237307897	3.9466911229084389	0.4033832532689321	5.0103657972663171	1.5218608282832731
Q92576-2;Q92576;E7EVH3;E7ER40;E9PE34;A0A1B0GX99;D6R9X2;D6RBF0;H0Y8L0	PHF3	PHD finger protein 3	9	32	32	32	22.3	22.3	22.3	219.81	1951	22.288719034627039	21.654534137590598	20.354124525283929	21.90930795519353	25.187522433934451	23.96921435343393	27.106993367913859	25.639866183298409	3.9242276714713888	0.61255755399164258	2.2502770817778051	0.21840953874730271
P62136;P62136-2;E9PMD7;A0A7I2V4F7;P62136-3	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	5	14	5	4	46.7	16.100000000000001	11.8	37.512	330	21.189911933140621	21.482366621802999	21.623886453060791	21.327627457055669	25.153561618010361	25.257422661452821	25.25194493283745	25.517041934078819	3.8890446703298429	0.48490505265385903	4.5105312712578742	1.2436146023781369
Q7Z3K3-5;Q7Z3K3-7;Q7Z3K3-2;Q7Z3K3-3;Q7Z3K3-6;Q7Z3K3;H0YCT3;Q7Z3K3-4;M0R2X2;H7C238;A6PW30;E9PJY9;E9PIR8	POGZ	Pogo transposable element with ZNF domain	13	19	19	19	21.1	21.1	21.1	145.29	1315	20.958934974439291	21.027180035394789	21.507461734096172	20.885157352395211	25.144915851057611	24.151821124324911	25.447142264822361	25.187031535092331	3.88804416974294	0.36121878774908012	3.7884100270323349	0.2290100446218338
P46013;P46013-2	MKI67	Antigen KI-67	2	102	102	102	41	41	41	358.69	3256	22.469485818358251	21.141396207276451	22.050493035390481	22.11870286079871	25.856001053819821	24.946771732097119	26.180255196198001	26.314633442077849	3.8793958755922269	0	4.0509087044454013	0
O75925;O75925-2;O75925-3;H3BSI8;H3BS65;B4DGW0	PIAS1	E3 SUMO-protein ligase PIAS1	6	11	11	10	26.7	26.7	24.4	71.834999999999994	651	21.552297625277529	20.59051734434972	21.332483623714239	20.446916810536951	25.060109437965039	24.56825118649266	24.671200683544789	25.093093517406629	3.867609855382669	0.50102227548858347	3.666245697986231	0.95412616730641187
P39748;I3L3E9;P39748-2;F5H1Y3	FEN1	Flap endonuclease 1	4	6	6	6	18.399999999999999	18.399999999999999	18.399999999999999	42.591999999999999	380	20.391038433530461	21.405831786741729	22.609189561777761	21.452080443356891	25.259363700519	25.26509964243715	24.639424620806359	26.087338037147479	3.848271443875785	0.54210790960522859	2.5132353326775849	0.2134994999741324
Q96GD4-5;Q96GD4;Q96GD4-4;J3QLN8;J3KT86;J3KTD6;J3QR41;Q96GD4-2;Q96GD4-3;J3KRJ2;J3KRF8;Q9UQB9-2;A3KFJ1;Q9UQB9-3;A0A0A0MSY3;Q9UQB9;Q5QPD4;B4DXA6;Q5Y191;A3KFJ0;O14965	AURKB	Aurora kinase B	21	15	15	15	47.8	47.8	47.8	39.466000000000001	345	21.86677774049528	22.098250368576711	21.575612123587089	21.747539418673561	25.57721259272169	25.394373459176091	25.453435932007569	26.062540611366799	3.7998457359848792	0.52722303076521171	3.4209553690683951	0.82615311279079306
Q6P1J9;A0A3B3IRP5;A0A1B0GUB2;A0A2R8YHB3;A0A2R8Y640;A0A3B3ISN2	CDC73	Parafibromin	6	17	17	17	36	36	36	60.576000000000001	531	20.620190607685011	19.958591236086679	21.336159577062428	20.847978310920759	24.52073280602395	24.265493151879561	24.597359254641379	24.56888899553585	3.7973886190814681	0.2659746269836587	3.2795340033102081	1.4305344485217479
Q14207	NPAT	Protein NPAT	1	7	7	7	6	6	6	154.29	1427	21.811957242998599	19.171289600358691	20.827504487848721	22.519808952226271	25.09393975560133	24.28912057394226	25.11489627536897	24.998561852435	3.7914895434788192	0.1132201069691172	2.5933797327074961	0.93328327473232364
P55197-1;P55197;Q5JT35;H0Y5P4;A0A494C038;A0A494C0R2	MLLT10	Protein AF-10	6	13	13	13	21.1	21.1	21.1	109.02	1027	22.613907594568499	21.513243920481081	21.353080459964801	21.74427666375384	25.093254743908169	25.469330547945269	25.97784134033456	25.791935499462291	3.7769633732205179	0.81440195260425474	3.663308900404104	1.034173953601796
P41240;H3BU69;H3BUM9	CSK	Tyrosine-protein kinase CSK	3	6	6	6	15.3	15.3	15.3	50.703999999999994	450	20.55668356595827	19.815607228417061	21.306853126044381	22.05862150124225	24.03145285205472	24.755419811277971	24.912827586714251	25.14359309845328	3.776381981709569	0.90051706908178641	3.1391370835813222	0.51393924429256377
O00299	CLIC1	Chloride intracellular channel protein 1	1	6	6	6	35.700000000000003	35.700000000000003	35.700000000000003	26.922000000000001	241	20.776660514261749	21.891458595965918	21.11553484465492	22.565604043078348	25.362255278572469	25.524145203296371	25.127388588664932	25.414061941893141	3.7696482536164928	0.2400665986486234	3.6431285344368431	1.809213719182061
Q8N7H5-3;Q8N7H5;Q8N7H5-2;B4DGJ5	PAF1	RNA polymerase II-associated factor 1 homolog	4	12	12	12	32.6	32.6	32.6	55.472000000000001	485	20.366915804751429	21.442879727662021	21.05524317856365	21.62863725390584	24.911273844676501	24.31513463289701	25.16629979534078	25.13045556028111	3.7573719670781158	0.3719852043527006	2.9360181816388882	0.79982311598619604
A0A0A0MSK5;Q5JTV8;H0YD16;H0Y4R4;H0YDU3	TOR1AIP1	Torsin-1A-interacting protein 1	5	8	8	1	22.5	22.5	3	52.406000000000013	462	21.725022649522838	21.56192381529878	21.208155671378751	22.077473559332621	24.87408307466341	25.278560905320202	25.30751157478738	25.947329269548081	3.708727282196524	0.71039371139744389	2.5463197979969991	0.76889113491327399
Q6PD62;H0YCE8	CTR9	RNA polymerase-associated protein CTR9 homolog	2	14	14	14	15.8	15.8	15.8	133.5	1173	21.376648188747019	20.545153090417472	21.25339834312847	21.17250995834673	24.799465033316821	24.39741246728298	24.91975333813863	24.95349240787893	3.680603416494423	0.31868443315720302	3.121317847317151	0.9043828848135006
P11717;A0A7I2V381;A0A7I2YQS7;S4R328;A0A7I2V657	IGF2R	Cation-independent mannose-6-phosphate receptor	5	35	35	35	16.399999999999999	16.399999999999999	16.399999999999999	274.37	2491	22.61578138235706	22.818645365151308	21.613287682206639	22.093940400772478	26.106953444980551	25.25356879716027	26.29822300235568	26.122282186766888	3.659843150193975	0.28242748351738972	3.9294137526712358	0.33272038609926191
Q9NRF2-2;Q9NRF2-3;Q9NRF2;F5GXU7;H3BUN7;B4DLN5;H3BTT2;H3BPZ4	SH2B1	SH2B adapter protein 1	8	9	9	9	21.3	21.3	21.3	70.78	671	22.03031152727857	18.989627874728729	21.328838428691871	22.18083231014263	24.996106567306121	23.78706001242605	25.155763233294611	25.118623659292229	3.6319858328692969	0.1380722081819335	2.6643813585128631	1.3594859354333639
Q5VYV7;H0YD23	SLX4IP	Protein SLX4IP	2	10	10	10	31.9	31.9	31.9	45.551000000000002	408	21.418285488879789	22.833658987207919	21.14911413902739	21.574235717558889	25.360548402447812	25.15298168672431	25.69630749234755	25.270777231882221	3.6263301201819762	0.57550910514215636	3.5938292786828701	2.3373227924437261
O60921-2;O60921;H7C272;C9JA95;C9JCK8;F8WAW9	HUS1	Checkpoint protein HUS1	6	4	4	4	21.6	21.6	21.6	29.286999999999999	259	20.768845971655651	20.227726405550889	21.440449161206729	21.088247420968798	24.503791291781091	24.22280374519589	24.603597822995329	24.685280063015409	3.6225509909014129	0.63376356640275899	4.9084023165911157	1.4635171316635149
P00492	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	1	5	5	5	28.9	28.9	28.9	24.579000000000001	218	20.607151982861961	21.557925803623739	21.456630303339029	21.633440433933419	24.73820196346432	24.8945802169236	25.179154351367231	24.90857366759402	3.6163404188977601	0.35306774994678197	4.728512610628723	1.145030981176856
Q9BXS6-3;Q9BXS6-5;Q9BXS6-2;Q9BXS6;Q9BXS6-4;Q9BXS6-6;Q9BXS6-7;H0YMD2;H0YKA7	NUSAP1	Nucleolar and spindle-associated protein 1	9	6	6	6	15.9	15.9	15.9	49.195	439	21.130758020398289	20.826221981484601	22.02068978106016	21.95885636848104	24.78561410135875	25.072020046277839	25.632424389484459	24.828712166479129	3.5955611380440269	0.44149958088975061	3.506806959031378	1.257455651403341
Q9Y230;Q9Y230-2;M0R0Y3;X6R2L4;M0QXI6;M0R0Z0;M0QXZ7;A0A1W2PS48	RUVBL2	RuvB-like 2	8	12	12	12	30.7	30.7	30.7	51.156000000000013	463	21.851919383806869	21.032278897091391	21.40030579689877	21.860289101421831	25.039925747414589	24.18442319527556	25.559321303701189	25.719888862271208	3.5896914823609252	1.1307921342479801	3.556054308719756	1.1367084137655361
Q13526;K7EN45;K7EMU7	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	3	3	3	3	30.1	30.1	30.1	18.242999999999999	163	21.510352096419709	22.974602374008491	21.010388293363938	21.281737780920611	24.857473070610659	25.48277694327027	25.30619077551539	25.35050059231142	3.5549652092487469	8.6306149305447138E-2	3.3063091587942961	1.3419149998602331
P53350;I3L2H5;I3L387;I3L309	PLK1	Serine/threonine-protein kinase PLK1	4	10	10	10	21.4	21.4	21.4	68.253999999999991	603	20.71928157674057	21.602590136917669	21.24377371992119	20.27801992161471	24.243434928503831	23.966488553673329	24.712770889350029	25.04476897198812	3.5309494970802948	0.56595230330333923	3.7396371933288721	0.60068121412782649
O95235;O95235-2;D6R9E4;D6RBN1	KIF20A	Kinesin-like protein KIF20A	4	12	12	12	16.5	16.5	16.5	100.28	890	25.043017267811852	20.70451064538431	24.235422363502199	21.211685470450849	25.99392777433652	25.916864056800261	26.913078770175488	26.47650210068387	3.526434238711734	0.27955448675268552	1.7228333550842221	0.12995005240363811
P62854;Q5JNZ5	RPS26	40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1	2	4	4	4	37.4	37.4	37.4	13.015000000000001	115	27.753470076711679	27.69172296928172	21.211063764561469	21.331141875160359	28.45974915747162	28.202284377198431	27.539934292487811	27.88419334803228	3.5246906223687291	0.39102781646448548	0.96339079965377117	1.0875669828174591E-2
P0DP25;P0DP24;P0DP23;E7EMB3;G3V361;A0A590UJI2;Q96HY3;A0A590UJC0;F8WBR5;G3V226;M0QZ52;G3V479	CALM2	12	5	5	5	40.9	40.9	40.9	16.837	149	21.994736420029419	21.290910184683572	21.40729714601239	21.619793547505029	23.809018361666091	27.185841356247799	25.493475088931561	23.907107048200022	3.5206761392037662	0.7666881433543824	2.1566422913501468	0.47231649059502129
P27348;E9PG15	YWHAQ	14-3-3 protein theta	2	6	5	5	34.700000000000003	30.6	30.6	27.763999999999999	245	21.282075424726631	21.094548313524651	21.722403325745528	21.677276475827789	25.022379666553231	25.55039452191161	24.597018191982372	24.531957273654939	3.4813615285693889	1.1160498577938629	3.4891156707893192	1.227002708787879
P33993;P33993-3;P33993-2;C9J8M6	MCM7	DNA replication licensing factor MCM7	4	33	33	33	57.7	57.7	57.7	81.307000000000002	719	25.255190835753599	24.80734863239266	24.919980595048958	24.06751379692324	28.25651414912506	27.64395799991161	28.466960601204871	28.447701939333481	3.4412752073641388	0	4.4499890193753826	0
P07902;G3V4G9;G3V3U5;G3V223;F2Z2X9;P07902-2;H0YJL3	GALT	Galactose-1-phosphate uridylyltransferase	7	8	8	8	26.1	26.1	26.1	43.363	379	21.641426740977689	21.476692906276948	21.261439422490671	21.477921960377039	24.699329288419161	24.8849269425207	25.133986290899351	24.88716036107817	3.436980463198763	0.40690240485714563	3.065262353484437	0.89547040443372672
A0A7I2V5A3;O14964;A0A7I2V307;A0A7I2V3J3;A0A7I2V2R9;A0A7I2V2W5;A0A7I2V2D8;A0A7I2V3F9;A0A7I2V5A2;A0A7I2V2K2;A0A7I2V6E0;A0A7I2V637;A0A7I2V3I8;O14964-2;A0A7I2V3Z1;A0A7I2YQD1;I3L1P5;A0A7I2V4X6;A0A7I2V5D6;I3L165;I3L1E3;A0A7I2V628;A0A7I2V558;A0A7I2V331;A0A7I2V674;A0A7I2V3Q7;A0A7I2V310	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	27	10	10	10	16.2	16.2	16.2	88.73899999999999	800	20.929664472381301	19.550036118823702	21.120619346586881	21.873615321142179	24.002902209852291	24.11243250689979	24.537240680799989	24.48775271189983	3.4165982126294558	0.71503625802547088	3.1143791251663648	0.7691614504325629
Q8NEM0;Q8NEM0-2;Q8NEM0-3	MCPH1	Microcephalin	3	11	11	11	15.6	15.6	15.6	92.847999999999999	835	21.076264678716111	20.182569805082711	21.7455556631337	21.860179385748111	24.519173589383701	23.676913480965609	25.176417582190751	25.138992937428061	3.4117320143218781	0.64339663046281692	2.4457694853189151	0.8399281667714753
P10074;K7EM76;Q5SY20;Q5SY21	ZBTB48	Zinc finger and BTB domain-containing protein 48	4	41	41	41	60.5	60.5	60.5	77.052999999999997	688	19.63003768306919	20.82339898646612	21.163535378191341	20.725227299631971	23.61447890558016	23.251619940523511	24.6461438081758	24.405095746480939	3.3937847633504439	0.45863323942408218	2.5400184597494389	0.77695430728586778
A0A6Q8PH09;Q9NVI1;A0A6Q8PGF4;F8W7R3;Q9NVI1-2;Q9NVI1-1;H3BP78;H3BQE2;H3BT54;H3BMG4;Q9NVI1-4;H3BS60	FANCI	Fanconi anemia group I protein	12	26	26	26	22.8	22.8	22.8	154.37	1372	21.10776366418758	20.996582563880409	21.131823441905318	21.653963953528589	25.141489760188009	23.73943864762396	24.580149055215941	24.809509090961239	3.3451132326218129	0.57530286934237129	3.7242605536999749	0.33854011925355731
K7EK07;P84243;Q16695;K7EMV3;A0A590UJJ6;B4DEB1;K7ES00;Q6NXT2;K7EP01	H3F3B	Histone H3;Histone H3.3;Histone H3.1t;Histone H3.3C	9	8	8	1	56.1	56.1	24.2	14.914	132	30.65667915866478	31.56201772640479	31.128170695847341	20.86548563322448	32.082236129216597	31.83962337075312	31.515309522082191	32.037738886269317	3.3156386735449579	0.2262454682457645	0.61187289071245798	1.44006074153571E-2
Q9P2K3;Q9P2K3-3;Q9P2K3-4;Q9P2K3-2;B4DV59;E9PQE5;H0YF22;E9PR63;H0YDD7;E9PPC5	RCOR3	REST corepressor 3	10	11	6	6	25.9	14.5	14.5	55.581000000000003	495	21.957985565548189	22.692580306196731	20.930998431050028	20.974982814157649	25.59903497428154	24.045102388916089	25.258537280912069	24.889065338623482	3.3087982164451439	0.6859639360032278	2.8353823511648	1.2356200615687201
Q9Y2U8	LEMD3	Inner nuclear membrane protein Man1	1	12	12	12	20.100000000000001	20.100000000000001	20.100000000000001	99.996000000000009	911	21.604020802897072	20.439530204996089	21.36840823338585	21.746632537846001	24.297331084211478	24.217266695282301	24.967456362549381	24.884554369714479	3.302004183158159	0.71447235949405408	3.7884489768126821	1.3521508960551609
P20700;E9PBF6;A0A0D9SFE5;A0A0D9SFY5	LMNB1	Lamin-B1	4	55	55	52	77	77	74.2	66.408000000000001	586	28.051858294612838	28.070915269613842	27.865023181239081	27.970268120629761	31.190899911845339	30.98956029208335	31.499334553818901	31.421316199776939	3.2857615228572499	0	6.7046877822591364	0
P04083;Q5T3N1;Q5T3N0	ANXA1	Annexin A1;Annexin	3	16	16	16	52.6	52.6	52.6	38.713999999999999	346	22.210088650500829	22.211396408765061	22.33668960477549	20.071390281019799	23.741394565421629	28.2965786461072	23.471471805134421	24.16905580686992	3.212233969617996	0.17535844555831709	1.3543601135431109	8.2172922916834996E-3
P49959;F8W7U8;P49959-3;P49959-2;F5GXT0;F5H742;F5H256	MRE11A	Double-strand break repair protein MRE11A	7	18	18	18	32.200000000000003	32.200000000000003	32.200000000000003	80.591999999999999	708	20.74551856856483	20.814023486472919	24.039256438638549	21.653621533388119	24.970750840150309	24.732727225417872	25.086346181104989	25.279765572402091	3.204292448002708	0.60425498129974187	1.8691668504380829	0.20970348165445629
Q8WVC0;Q8WVC0-2	LEO1	RNA polymerase-associated protein LEO1	2	5	5	5	10.7	10.7	10.7	75.403000000000006	666	21.48979319958956	21.83413836803372	21.599142384147601	20.328424350350161	24.638596326690891	23.5799189603126	24.86310980797462	24.87993580090885	3.177515648441477	0.9198710579716266	2.3238419703072939	1.02521080736212
H0YN26;P39687;H7BZ09;O43423;O95626	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	5	6	6	3	36.200000000000003	36.200000000000003	15.8	19.997	177	20.156101352093032	21.023709866011931	21.65178124868514	21.664891892260009	24.291441093846409	24.811862270834681	24.290386774751809	23.750316894805831	3.1618806687971528	1.2500700374823579	3.021560908200887	0.90999679341377748
Q7KZ85;Q7KZ85-3;Q7KZ85-2	SUPT6H	Transcription elongation factor SPT6	3	28	28	28	24.3	24.3	24.3	199.07	1726	21.540379271772728	20.13815624009785	21.38711279409992	22.641498484199541	24.444237932468159	23.926057782856319	24.823279376635661	25.155647442529201	3.1605189360798298	0.36335861068998082	2.6144349409650078	0.51377921557069384
Q6UXN9;C9JBU3;C9J355	WDR82	WD repeat-containing protein 82	3	10	10	10	42.8	42.8	42.8	35.079000000000001	313	22.494028053390689	21.351220117167092	21.077378884067201	22.888956850770771	25.378122572503511	24.53759617033958	24.865377231314291	25.57178457904017	3.135324161950451	0.17566174568137111	3.1099271160995752	0.73608214101182956
Q8WYQ5-3;Q8WYQ5	DGCR8	Microprocessor complex subunit DGCR8	2	10	10	10	14.5	14.5	14.5	82.75	740	21.54205926046448	20.976178493776509	21.25255866420224	21.527007005162741	24.658617699662859	23.528384475789121	24.62628164491089	25.023776007421262	3.1348141010445389	0.43459101783985071	3.4915187084991248	1.047334054841891
Q92878-2;Q92878;A0A1W2PQ90;Q92878-3;A0A494C1B7;E7ESD9;A0A494BZX5;A0A494C122;E7EN38;A0A494C0Y7;A0A494BZX8;H7C0V2;C9JNH8;E9PM98	RAD50	DNA repair protein RAD50	14	23	23	23	19	19	19	154.59	1318	21.849840299620229	21.72004548117609	21.99189270247528	22.299730159076908	24.56871507557733	24.941900852608999	25.014909604051791	25.71371499287881	3.0944329706921052	0.1167514220464677	4.4849692650466046	0.50689888674623518
A0A1W2PQ43;E9PK09;E9PQN2;E9PKI6;E9PK91;Q9NYF8-4;Q9NYF8-3;Q9NYF8-2;Q9NYF8;E9PJA7	BCLAF1	Bcl-2-associated transcription factor 1	10	3	3	3	5.4	5.4	5.4	80.617999999999995	703	21.089939787533439	19.62106223933224	21.092123289876731	21.405251202388339	24.097158980502591	23.698163731053441	23.7445801179298	23.969477867399931	3.075251044438756	0.29557512018225018	3.283858497765844	0.95548348543138317
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6	ADNP	Activity-dependent neuroprotector homeobox protein	4	25	25	25	27.3	27.3	27.3	123.56	1102	22.908555344050459	22.566719293356812	21.556184202461822	21.002576062635679	25.24724347587129	24.586347786283689	25.41944075198213	25.066077033543351	3.0712685362939252	0	3.1800111302591252	0
A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9;Q96PU4	UHRF1	E3 ubiquitin-protein ligase UHRF1	6	14	14	14	19.899999999999999	19.899999999999999	19.899999999999999	91.09899999999999	806	21.50732245698098	22.88922319948346	23.53860291527279	21.30238587803094	25.423197228968618	24.753482828633409	25.889274268416639	25.451016119467319	3.0698589989294511	0.1215866287379118	2.607621009918617	9.3586511751240831E-2
P29590-4;P29590-2;P29590-5;P29590-9;P29590-3;P29590-8;P29590;H3BT57;P29590-14;P29590-10;P29590-12;P29590-13;P29590-11;H3BT29;H3BUJ5;H3BVD2	PML	Protein PML	16	10	10	10	19.100000000000001	19.100000000000001	19.100000000000001	62.006	560	22.20609310411497	20.636385124080022	20.813724679532761	21.88349288511743	24.527847792154361	24.637159489405839	24.228393027973539	24.356154795575279	3.0524648280659559	0.38995543747848482	3.184798787070207	0.91694435497671889
O00148;O00148-2;K7EQN7;O00148-3;K7EPJ3;A0A0D9SEM9;K7ENP6;A0A0G2JHN7;K7EL56;K7EIL8;F6U6E2;K7EN69;F6S2B7;F6SXL5	DDX39A	ATP-dependent RNA helicase DDX39A	14	13	5	5	36.1	17.100000000000001	17.100000000000001	49.128999999999998	427	21.72464447693886	23.61930116408352	21.003568050365569	21.047167168437269	25.16783156279465	24.40444620568347	24.719888862271208	25.312367269959779	3.052463260220966	0.67101564318350737	2.2892741330408728	0.3340241183769721
P06733;A0A2R8Y6G6;P06733-2;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8YEG5;A0A2R8Y798;A0A2R8Y6I8;P13929-3;P09104-2;F5H1C3;P13929-2;E5RI09;E5RG95;K7EKN2;P09104;K7EPM1;E5RGZ4;F5H0C8;P13929	ENO1	Alpha-enolase	22	15	15	15	44.7	44.7	44.7	47.167999999999999	434	22.89037413296364	23.693385711831311	24.106214671372271	20.52857013153471	25.088329211755191	28.245222570595569	24.9862434263616	25.105175755081341	3.0516065790229399	0.15899528019608139	1.4488181265091209	6.4511748628455101E-2
P24666;G5E9R5;P24666-4;F2Z2Q9;P24666-3;P24666-2;D3YTI2	ACP1	Low molecular weight phosphotyrosine protein phosphatase	7	5	5	5	38	38	38	18.042000000000002	158	22.89454321240823	20.685004104072419	24.062252381175721	20.979931956847469	25.09490627754964	25.237393208813831	24.949668576826738	25.532254607808401	3.0481227541236908	0.20854479438689119	1.981925128726606	6.9119025311792676E-2
